a,ある
griffonage,グリフォナージュ
grift,グリフト
grig,グリッグ
grigri,グリグリ
grill,グリル
grille,グリル
grillroom,グリルルーム
grim,厳しい
grimace,しかめっ面
grimacer,しかめっ面
grimacier,もっと厳しい
grimalkin,グリマルキン
grime,汚れ
grimfaced,険しい顔の
grimffe,グリムフ
griminess,汚い
grimly,厳しい
grimm,グリム
grimoire,グリモワール
grimvisaged,厳しい表情をした
grimy,汚れた
grin,ニヤリと笑う
grind,粉砕する
grindelia,グラインデリア
grinder,グラインダー
grindery,粉砕所
grinding,研削
grindstone,砥石
gringo,グリンゴ
griot,グリオット
grip,グリップ
gripe,不満
griped,掴まれた
griping,グリップ力のある
grippe,グリップ
grips,グリップ
gripsack,グリップサック
grisaille,グリザイユ
griselinia,グリセリニア
griseofulvin,グリセオフルビン
grisette,グリゼット
grisly,ぞっとするような
grison,グリソン
grissino,グリッシーノ
grist,要点
gristle,ゴロゴロ
gristly,ぞっとする
gristmill,製粉所
grit,度胸
grits,グリッツ
gritty,ザラザラした
griveous,悲惨な
grivet,グリベット
grizzle,グリズル
grizzled,白髪交じりの
grizzly,ハイイログマ
groan,うめき声を上げる
groaning,うめき声
groat,ひき割り
groats,ひき割り穀物
grocer,食料品店
groceries,食料品
grocery,食料品
grody,グロディ
groecas,グロエカ
groenendael,グローネンダール
groenlandia,グロエンランディア
grog,グロッグ
grogginess,グロッキー
groggy,グロッキー
grogram,グログラム
groin,股間
grommet,グロメット
gromwell,グロムウェル
groom,新郎
groomed,手入れされた
groomsman,花婿の付添人
groove,溝
grooved,溝付き
groover,グルーバー
grooves,溝
grooving,溝入れ
groovy,グルーヴィーな
grope,手探り
groping,模索
gropingly,手探りで
gropius,グロピウス
grosbeak,グロスビーク
groschen,グロッシェン
grosgrain,グログラン
gross,きもい
grosse,ひどい
grosshead,総収入
grossheaded,気持ち悪い
grossieret,グロシレット
grossierete,グロいです
grossly,ひどく
grossness,グロさ
grossulariaceae,キノコ科
grosz,グロス
grot,グロト
grotesque,グロテスク
grotesquely,グロテスクに
grotesqueness,グロテスクさ
grotto,洞窟
grotty,ひどい
grouch,不機嫌になる
grouchy,不機嫌な
groudwork,基礎工事
ground,地面
groundbreaking,画期的な
groundcover,グランドカバー
grounded,接地された
grounder,ゴロ
groundfish,グランドフィッシュ
groundhog,グラウンドホッグ
grounding,接地
groundless,根拠のない
groundling,地上人
groundmass,地面
groundnut,落花生
grounds,根拠
groundsel,グーゼル
groundsheet,グランドシート
groundsman,グラウンドマン
groundspeed,対地速度
groundwork,下地
grount,うなり声
group,グループ
grouped,グループ化された
grouper,ハタ
groupie,グルーピー
grouping,グループ化
groups,グループ
groupware,グループウェア
grouse,ライチョウ
grouseberry,グラズベリー
groush,うめき声
grout,グラウト
grouty,汚れた
grove,木立
grovel,うろたえる
groveling,うろつく
grow,育つ
growing,成長している
growl,うなり声
growler,グロウラー
growling,うなる
grown,成長した
growth,成長
groyne,グロイン
grub,グラブ
grubbing,グラブル
grubby,汚い
grubstake,グラブステーク
grubstreet,グラブストリート
grudge,恨み
grudging,しぶしぶ
grudgingly,いやいや
grue,グルー
gruel,粥
gruesomely,ぞっとするほど
gruff,不機嫌そうな
gruffly,不機嫌な
gruffness,不機嫌さ
grugru,グルグル
gruidae,グルディ科
gruiformes,グリニ目
grum,グラム
grumble,不平不満を言う
grumbler,不平不満を言う人
grumbling,不平不満を言う
grume,不機嫌な
grumous,不機嫌な
grump,不機嫌になる
grumpy,不機嫌そうな
grundy,汚い
grunt,うなり声
grunting,うめき声を上げる
gruntle,ぶつぶつ言う
grus,グルー
gruyere,グリュイエール
gryllidae,グリリ科
gryphon,グリフォン
guadagna,グアダニャ
guadalajara,グアダラハラ
guadalcanal,ガダルカナル島
guadeloupe,グアドループ
guaiacum,グアイアカム
guallatiri,ガラティリ
guam,グアム
guama,グアマ
guan,関
guanaco,グアナコ
guanine,グアニン
guano,グアノ
guar,グアー
guarani,グアラニー語
guarantee,保証
guarantor,保証人
guaranty,保証
guard,ガード
guarda,グアルダ
guarded,守られている
guardhouse,番所
guardian,守護者
guardianship,後見
guardless,無防備な
guardroom,警備室
guards,警備員
guardship,護衛
guardsman,衛兵
guatemala,グアテマラ
guatemalan,グアテマラ語
guava,グアバ
guayaquil,グアヤキル
guayule,グアユール
gubernation,知事
gubernatorial,知事
guck,ガック
gudgeon,ガジョン
guenon,グノン
guerdon,ガードン
guereza,ゲレザ
gueridon,ゲリドン
guerilla,ゲリラ
gueristoi,ゲリストイ
guernsey,ガーンジー島
guerre,ゲーレ
guerrilla,ゲリラ
guess,推測
guesstimate,推測する
guesswork,推測
guest,ゲスト
guesthouse,ゲストハウス
guestroom,ゲストルーム
guests,ゲスト
guet,ゲット
guetapens,ゲタペンス
guevina,グビナ
guff,ガフ
guffaw,爆笑
guggle,ぐぐぐぐする
guiana,ギアナ
guidance,ガイダンス
guide,ガイド
guidebook,ガイドブック
guided,導かれた
guideless,ガイドレス
guideline,ガイドライン
guidepost,道標
guiding,導く
guidon,ギドン
guild,ギルド
guilder,ギルダー
guildhall,ギルドホール
guile,狡猾な
guileless,無邪気な
guillemets,ギルメット
guillemot,ウミガラス
guilloche,ギョーシェ模様
guillotine,ギロチン
guilt,罪悪感
guiltily,罪悪感を持って
guiltiness,罪悪感
guiltless,無罪
guiltlessness,純真
guilty,有罪
guimpe,ギンペ
guinde,ガイド
guinea,ギニア
guinean,ギニア人
guinesss,ギネス
guinevere,グィネヴィア
guinness,ギネス
guisard,ギザール
guise,装う
guiser,ガイザー
guitar,ギター
guitarfish,ギターフィッシュ
guitarist,ギタリスト
gujarat,グジャラート州
gujarati,グジャラート語
gula,グラ
gulag,収容所
gulch,ガルチ
gules,グール
gulf,湾
gulfweed,ゴロゴロ
gull,カモメ
gullery,ガリー
gullet,食道
gullible,だまされやすい
gulliver,ガリバー
gully,ガリ
gulo,グロ
gulosity,グロシティ
gulp,ゴクゴク
gulph,湾
gulping,ゴクゴク
gum,ガム
gumbo,ガンボ
gumboil,ガムボイル
gumdrop,ガムドロップ
gumma,グンマ
gummed,ガム状の
gummite,ガムマイト
gummosis,ガム状菌
gummosity,粘着性
gumption,ガンプション
gums,歯茎
gumweed,ガムウィード
gumwood,ガムウッド
gun,銃
gunboat,砲艦
guncotton,ガンコットン
gunfight,銃撃戦
gunfire,砲火
gunflint,火打石
gungho,ガン・ホー
gunite,グナイト
gunk,汚い
gunlock,ガンロック
gunman,ガンマン
gunmetal,ガンメタル
gunnel,ガンネル
gunner,砲手
gunnery,砲術
gunnysack,南京袋
gunpowder,火薬
gunrunner,ガンランナー
gunrunning,銃の密売
guns,銃
gunsight,照準器
gunsmith,銃器鍛冶屋
gunter,ガンター
gunwale,ガンネル
guod,ああ
guppy,グッピー
gur,ガー
gurge,ゴロゴロ
gurgel,グルゲル
gurgle,ゴロゴロ
gurgoyle,ガーゴイル
gurkha,グルカ
gurnard,ホウボウ
gurney,担架
gurry,ガリ
guru,グル
gush,湧き出る
gusher,噴出する
gushing,噴出
gushingly,勢いよく
gusset,マチ
gusseted,マチ付き
gust,突風
gustable,突風的な
gustation,味覚
gustatory,味覚
gustful,突風
gustless,突風がない
gusto,ガスト
gusty,突風が吹く
gut,腸
gutierrezia,グティエレツィア
gutless,根性のない
gutlessness,根性のなさ
guts,根性
gutsiness,ガッツ
gutsy,ガッツのある
guttaserena,ガッタセレナ
gutted,内臓除去
gutter,側溝
guttering,雨樋
guttiferae,ガッティフェラエ
guttiferales,ガッティフェラレス
guttle,ガクガク
guttling,ゴロゴロする
guttural,喉音
gutturally,喉から声で
guvnor,知事
guy,男
guyana,ガイアナ
guyanese,ガイアナ人
guyot,ギュヨ
guzzle,ゴクゴク
guzzler,ガズラー
guzzling,ゴクゴク
gvisum,ジーヴィサム
gwydion,グウィディオン
gwyn,グウィン
gy,ジー
gybe,ジャイブ
gym,ジム
gymkhana,ジムカーナ
gymnadenia,体育館
gymnadeniopsis,ギムナデニオプシス
gymnasium,ジム
gymnast,体操選手
gymnastic,体操
gymnastics,体操
gymnelis,ギムネリス
gymnocalycium,ギムノカリキウム
gymnocarpium,ギムノカルピウム
gymnocladus,ギムノクラダス
gymnogyps,体操選手
gymnophiona,ジムノフィオナ
gymnopilus,ギムノピラス
gymnorhina,ジムノリナ
gymnosophical,体操競技
gymnosophist,体操選手
gymnosophy,体操競技
gymnosperm,裸子植物
gymnospermae,裸子植物
gymnospermous,裸子植物
gymnosporangium,裸子胞子嚢
gymnura,ギムヌーラ
gymslip,ジムスリップ
gynaecic,婦人科系
gynaeocracy,婦人科
gynandromorphic,女性化型
gynarchy,ギナーキー
gynecaeum,婦人科
gynecic,女性的な
gynecological,婦人科系
gynecologist,婦人科医
gynecology,婦人科
gynecomastia,女性化乳房
gyneolatry,婦人科
gynephobia,女性恐怖症
gynocracy,女性政治
gynogenesis,女性形成
gynophobia,女性恐怖症
gynura,ギヌラ
gyp,ジプ
gypaetus,ジパエトゥス
gyps,ジプ
gypsophila,カスミソウ
gypsum,石膏
gypsy,ジプシー
gyral,ジャイラル
gyrate,旋回する
gyration,回転
gyratory,旋回性の
gyre,旋回
gyrfalcon,シロハヤブサ
gyrinidae,ギリ科
gyro,ジャイロ
gyrocompass,ジャイロコンパス
gyromancy,ジャイロマンス
gyromitra,ジャイロミトラ
gyroscope,ジャイロスコープ
gyroscopic,ジャイロスコープ
gyrostabilizer,ジャイロスタビライザー
gyrus,回
gysart,ジャイサルト
gyve,与える
ha,はぁ
haastia,ハースティア
habe,ハベ
habeas,人身保護
habenaria,ハベナリア
habent,癖のある
haber,ハーバー
haberdasher,小間物商
haberdashery,小間物店
habergeon,ハバージョン
habet,ハベット
habiles,ハビレス
habiliment,生活習慣
habilitation,ハビリテーション
habilite,習慣性
habit,癖
habitable,住むことができる
habitant,住人
habitat,生息地
habitation,住居
habited,習慣的な
habitmaker,習慣者
habits,習慣
habitual,習慣的な
habitually,習慣的に
habituate,習慣化する
habituated,慣れた
habituation,慣れ
habitude,習慣
habitue,習慣
hac,ハック
hacek,ハチェク
hachiman,八幡
hachure,はちゅれ
hacienda,アシエンダ
hack,ハック
hackamore,ハッカモア
hackberry,エノキ
hackbut,ハックバット
hackee,ハッキー
hackelia,ハッケリア
hacker,ハッカー
hackery,ハッキング
hackle,ハックル
hackman,ハックマン
hackney,ハックニー
hackneyed,陳腐な
hacksaw,弓のこ
hackwork,ハックワーク
had,持っていた
hadal,ハダル
haddock,ハドック
hadean,冥王星人
hades,ハデス
hadj,ハジ
hadji,ハジ
hadron,ハドロン
hadrosaur,ハドロサウルス
hadrosauridae,ハドロサウルス科
hae,はー
haec,ヘク
haemanthus,ハエマンサス
haematobia,血症
haematobious,血便性の
haematopodidae,ヘマトポディ科
haematopus,ヘマトパス
haematoxylum,ヘマトキシラム
haemodoraceae,ヘモドラ科
haemodorum,ヘモドルム
haemophilic,血友病患者
haemopis,ヘモピス
haemoproteid,ヘムタンパク質
haemoproteidae,ヘムタンパク質科
haemoproteus,ヘモプロテウス
haemosporidia,血胞子症
haemosporidian,血胞子虫
haemulidae,ヘムリ科
haemulon,ヘムロン
haerent,ヘレント
haeres,ウサギ
haeret,ハエレット
haesit,ヘイシット
hafnium,ハフニウム
haft,半分
hag,ババア
hagberry,ハグベリー
hageman,ハーゲマン
hagfish,ヌタウナギ
haggard,やつれた
haggardly,やつれた
haggis,ハギス
haggle,値切る
hagiographa,聖人伝
hagiography,聖人伝
hagiolatry,聖職者学
hagiology,聖人学
haguebut,ハーグバット
haha,ハハ
haida,ハイダ
haifa,ハイファ
haik,ハイク
haiku,俳句
hail,雹
hailstone,ひょう石
hailstorm,ひょう嵐
hair,髪
hairball,毛玉
hairbreadth,髪の毛の幅
hairbrush,ヘアブラシ
haircloth,ヘアクロス
haircut,散髪
hairdo,髪型
hairdresser,美容師
hairdressing,理髪
haired,毛深い
hairif,ヘアーフ
hairiness,毛深い
hairless,無毛
hairlessness,無毛
hairline,生え際
hairnet,ヘアネット
hairpiece,ヘアピース
hairpin,ヘアピン
hairs,毛
hairsplitting,髪を割る
hairspring,ヒゲゼンマイ
hairstreak,ヘアスジ
hairy,毛深い
haiti,ハイチ
haitian,ハイチ人
hajj,ハッジ
hajji,ハジ
hake,メルルーサ
hakea,ハケア
hakka,客家
halberd,ハルバード
halberdier,ハルバーディア
halchidhoma,ハルキドーマ
halcyon,ハルシオン
haldea,ハルデア
hale,ヘイル
halenia,ハレニア
haler,ヘイラー
halesia,ハレシア
half,半分
halfadozen,半ダース
halfandhalf,半々
halfback,ハーフバック
halfbaked,中途半端な
halfbeak,サヨリ
halfblind,半盲
halfblood,混血
halfbreed,混血
halfcaste,ハーフカースト
halfhearted,中途半端な
halflearned,中途半端に
halfmoon,半月
halfpenny,半ペニー
halfpennyworth,半ペニーワース
halfprice,半額
halfstarved,半分飢えた
halftime,ハーフタイム
halftone,ハーフトーン
halfway,中途半端
halfwit,中途半端な
haliaeetus,ハリエトゥス
halibut,オヒョウ
halicoeres,ハリコエレ
halictidae,口臭科
halide,ハロゲン化物
halifax,ハリファックス
halimodendron,ハリモデンドロン
haliotidae,ハリオチ科
haliotis,口臭
halitosis,口臭
hall,ホール
hallel,ハレル
hallelujah,ハレルヤ
hallmark,特徴
halloa,こんにちは
halloo,こんにちは
hallow,神聖な
hallowed,神聖な
halloween,ハロウィン
hallowmas,ハロウィン
hallstand,ホールスタンド
hallucination,幻覚
hallucinatory,幻覚
hallucinogen,幻覚剤
hallucinogenic,幻覚性の
hallway,廊下
halma,ハルマ
halo,ハロー
halobacteria,好塩菌
halocarbon,ハロカーボン
halocarpus,ハロカルプス
halogen,ハロゲン
halogeton,ハロゲトン
halomancy,ハロマンシー
halophile,好塩菌
halophyte,塩生植物
haloragidaceae,ハロラギ科
halothane,ハロセン
halser,ハルサー
halt,停止する
halter,ホルターネック
halting,停止中
haltingly,立ち止まりながら
halve,半分にする
halves,半分
halvesgo,半ヴェスゴ
halving,半分にする
halyard,ハリヤード
ham,ハム
hamadryad,ハマドリアド
hamal,ハマル
hamamelidaceae,ハマメリダ科
hamamelidae,ハマダラ科
hamamelidanthum,ハマメリダンサム
hamamelidoxylon,ハマメリドキシロン
hamamelis,ハマメリス
hamamelites,ハマメル派
haman,ハマン
hamate,有鉤酸
hamburg,ハンブルク
hamburger,ハンバーガー
hame,ハメ
hamelia,ハメリア
hamfatter,ハムファッター
hamiform,ハミフォーム
hamilton,ハミルトン
haminoea,ハミノエア
hamitic,ハム族の
hamlet,ハムレット
hammer,ハンマー
hammered,ハンマーで叩かれた
hammerhead,シュモクザメ
hammering,ハンマーで叩く
hammerlock,ハンマーロック
hammertoe,槌状足指症
hamming,ハミング
hammock,ハンモック
hammy,ハミー
hamous,ふざけた
hamper,妨げる
hampshire,ハンプシャー
hamster,ハムスター
hamstring,ハムストリング
hanaper,ハナパー
hand,手
handball,ハンドボール
handbarrow,手押し車
handbell,ハンドベル
handbook,ハンドブック
handbow,手弓
handbreadth,手幅
handbreath,手呼吸
handcar,手押し車
handcart,手押し車
handclap,拍手
handcuff,手錠
handcuffs,手錠
handed,渡された
handedness,利き手
handel,ヘンデル
handelian,ハンデリアン
handerchief,ハンチ
handfast,ハンドファスト
handful,一握りの
handhold,手持ち
handicap,ハンディキャップ
handicraft,手芸
handicraftsman,手工芸品
handily,便利に
handiness,器用さ
handiwork,手仕事
handkerchief,ハンカチ
handle,ハンドル
handlebar,ハンドルバー
handled,処理された
handleless,ハンドルなし
handless,ハンドルなし
handline,ハンドライン
handling,取り扱い
handloom,手織り機
handmade,手作り
handmaid,侍女
handoff,渡す
handout,配布資料
handover,引き渡す
handpost,ハンドポスト
handrest,ハンドレスト
hands,手
handsaw,手のこぎり
handsel,ハンドセル
handset,ハンドセット
handsewn,手縫い
handshake,ハンドシェーク
handsome,ハンサム
handsomely,立派に
handsomeness,ハンサムさ
handspike,ハンドスパイク
handspring,ハンドスプリング
handstamp,ハンドスタンプ
handstand,逆立ち
handwear,ハンドウェア
handwheel,ハンドル
handwriting,手書き
handwritten,手書きの
handy,ハンディ
handyman,便利屋
hanemolia,ハンネモリア
hang,下がる
hangar,ハンガー
hangdog,ハングドッグ
hanged,絞首刑に処せられた
hanger,ハンガー
hangeron,ハンゲロン
hangers,ハンガー
hanging,ぶら下がっている
hangman,絞首刑執行人
hangnail,ささくれ
hangover,二日酔い
hangs,ハングする
hangzhou,杭州
hani,ハニ
hank,ハンク
hanker,憧れの
hankering,切望する
hannibal,ハンニバル
hannibalem,ハンニバレム
hannover,ハノーバー
hanoi,ハノイ
hanover,ハノーバー
hanoverian,ハノーファー人
hansard,ハンサード
hansards,ハンサード
hansom,ハンサム
hanukkah,ハヌカ
hanuman,ハヌマーン
hao,ハオ
hap,はぁ
haphazard,行き当たりばったり
hapless,不幸な
haplography,ハプログラフィー
haploid,一倍体
haplopappus,ハプロパプス
haplosporidia,ハプロスポリジウム
haplosporidian,ハプロスポリディアン
haply,幸いなことに
happen,起こる
happening,ハプニング
happens,起こる
happier,より幸せな
happily,幸せに
happiness,幸せ
happy,ハッピー
happygolucky,ハッピーゴーラッキー
hapsburg,ハプスブルク家
haptic,触覚
harakiri,ハラキリ
harangue,説教
harare,ハラレ
harass,嫌がらせ
harassing,嫌がらせ
harassment,嫌がらせ
harbinger,前触れ
harbor,港
harborage,港湾
harborless,港のない
hard,難しい
hardback,ハードカバー
hardbacked,ハードカバーの
hardbake,ハードベイク
hardball,硬式
hardearned,苦労した
harden,硬化する
hardenbergia,ハーデンベルギア
hardened,硬化した
hardening,硬化
hardfought,苦戦した
hardheaded,頭が固い
hardhearted,心の狭い
hardihood,頑固さ
harding,ハーディング
hardinggrass,ハーディンググラス
hardliner,強硬派
hardly,しそうにない
hardmouthed,口が堅い
hardness,硬度
hardpan,ハードパン
hardscrabble,ハードスクラブル
hardshell,ハードシェル
hardship,苦難
hardtack,乾パン
hardtop,ハードトップ
hardware,ハードウェア
hardwood,広葉樹
hardworking,勤勉な
hardy,丈夫な
hare,野ウサギ
harebell,ハレベル
harebrained,頭脳派
harelip,ハレリップ
harelipped,ハレリプ
harem,ハーレム
hargeisa,ハルゲイサ
haricot,インゲン
hariff,ハリフ
hariolation,ハリオレーション
hark,ハーク
harken,ハーケン
harlem,ハーレム
harlequin,道化師
harlequinade,ハーレクイン
harlot,遊女
harlotry,淫行
harm,危害
harmattan,ハルマッタン
harmed,傷つけられた
harmful,有害
harmfulness,有害
harmless,無害な
harmlessly,無害に
harmonic,高調波
harmonica,ハーモニカ
harmonical,調和のとれた
harmonically,調和的に
harmonicon,ハーモコン
harmonics,高調波
harmonious,調和のとれた
harmoniously,調和して
harmoniphon,ハーモフォン
harmoniphone,ハーモフォン
harmonist,調和主義者
harmonium,ハルモニウム
harmonizable,調和可能な
harmonization,調和
harmonize,調和する
harmony,調和
harms,害を与える
harness,ハーネス
harnessed,利用された
harp,ハープ
harpagon,ハーパゴン
harper,ハーパー
harpia,ハルピア
harping,ハープする
harpist,ハープ奏者
harpoon,銛
harpooner,銛打ち
harpsichord,チェンバロ
harpsichordist,チェンバロ奏者
harpulla,ハープラ
harpullia,ハルプリア
harpy,ハーピー
harquebuss,火縄銃
harrent,ハレント
harridan,ハリダン
harrier,ハリアー
harrisburg,ハリスバーグ
harrisia,ハリシア
harrison,ハリソン
harrow,ハロー
harrowing,悲惨な
harry,ハリー
harsh,ひどい
harshly,厳しく
harshness,厳しさ
hart,ハート
hartebeest,ハーテビースト
hartford,ハートフォード
hartshorn,ハーツホルン
harumscarum,ハルムスカラム
harupsical,ハルプシカル
haruspex,ハルスペックス
haruspice,ハルスパイス
haruspicy,ハルスパイシー
harvest,収穫
harvester,収穫機
harvestfish,収穫魚
harvesthome,収穫家
harvestman,収穫者
has,もっている
hasdrubal,ハスドルバル
hash,ハッシュ
hashish,ハシシ
haslet,ハスレ
hasp,掛け金
hassle,面倒な
hassock,ハソックス
hast,急ぐ
hasta,ハスタ
hastate,急いで
haste,急いで
hasten,急ぐ
hastening,急ぐ
hastily,急いで
hastiness,性急さ
hastings,ヘイスティングス
hasty,急いでいる
hastyquick,急いで
hat,帽子
hatband,帽子バンド
hatbox,帽子箱
hatch,ハッチ
hatchback,ハッチバック
hatched,孵化した
hatchel,ハッチェル
hatchery,孵化場
hatches,ハッチング
hatchet,手斧
hatchetfaced,鉈面
hatchling,孵化したばかりの子
hatchment,孵化場
hatchway,ハッチウェイ
hate,嫌い
hated,嫌われた
hateful,憎たらしい
hatefully,憎たらしく
hatefulness,憎しみ
hatemonger,憎しみを煽る者
hater,嫌いな人
hatful,脱帽する
hath,ハス
hating,憎む
hatiora,ハティオラ
hatless,帽子なし
hatmaker,帽子屋
hatpin,ハットピン
hatrack,ハットトラック
hatred,憎しみ
hatted,帽子をかぶった
hatter,帽子屋
hattisherif,ハティシェリフ
hattock,ハットック
hauberk,かまど
haud,ハウド
haugh,笑う
haughtily,傲慢に
haughtiness,傲慢さ
haughty,傲慢な
haul,運ぶ
haulage,運搬
hauler,運送業者
hauling,運搬
haulm,ホールム
haunch,ハンチ
haunt,幽霊
haunted,幽霊が出た
haunter,幽霊
haunting,忘れられない
hausa,ハウサ語
hausmannite,ハウスマナイト
haustorium,吸器室
haut,ハウト
hautboy,ハウボーイ
haute,高級
hauteur,所有者
hautgout,オーグアウト
havana,ハバナ
havasupai,ハヴァスパイ
have,持っている
haven,避難所
haversack,雑嚢
having,持っている
havoc,大混乱
haw,やあ
hawaii,ハワイ
hawaiian,ハワイアン
hawfinch,シメ
hawk,鷹
hawkbit,ホークビット
hawker,行商人
hawkeyed,タカ派
hawking,行商行為
hawkishness,タカ派
hawklike,鷹のような
hawkmoth,スズメガ
hawkweed,ヤナギ
hawse,ホース
hawser,ホーサー
hawthorn,サンザシ
hay,干し草
haycock,干し草
haydn,ハイドン
hayes,ヘイズ
hayfield,ヘイフィールド
hayfork,干し草フォーク
haying,干し草を干している
hayley,ヘイリー
hayloft,干し草置き場
haymaker,干し草屋
haymaking,干し草づくり
hayrack,干し草棚
hayseed,干し草の種
haystack,干し草の山
hayward,ヘイワード
haywire,混乱した
hazard,危険
hazarded,危険な
hazardia,危険
hazardous,危険な
hazardousness,危険性
hazards,危険
haze,もや
hazel,ヘーゼル
hazelnut,ヘーゼルナッツ
hazily,ぼんやりと
haziness,かすみ
hazmat,危険物
hazy,かすんでいる
hb,HB
hc,HC
he,彼
heaavy,重い
head,頭
headache,頭痛
headband,ヘッドバンド
headboard,ヘッドボード
headcheese,ヘッドチーズ
headdress,頭飾り
headed,に向かった
header,ヘッダ
headfast,猛烈な勢いで
headfirst,頭から
headforemost,先頭に立つ
headful,頭いっぱいの
headgear,ヘッドギア
headhunter,ヘッドハンター
heading,見出し
headland,岬
headless,頭のない
headlight,ヘッドライト
headlike,頭っぽい
headline,見出し
headliner,ヘッドライナー
headlinese,見出し
headlock,ヘッドロック
headlong,真っ逆さまに
headman,村長
headmaster,校長
headmastership,校長職
headmistress,校長
headmistresship,校長職
headmost,一番先頭
headpiece,かぶと
headpin,ヘッドピン
headquarters,本部
headrace,導水路
headrest,ヘッドレスト
headroom,ヘッドルーム
heads,頭
headsail,ヘッドセール
headscarf,ヘッドスカーフ
headset,ヘッドセット
headshake,首を振る
headship,頭の権
headshot,ヘッド・ショット
headsman,ヘッドマン
headspace,ヘッドスペース
headstall,ヘッドストール
headstand,倒立
headstock,ヘッドストック
headstone,墓石
headstrong,頑固な
headwaters,源流
headway,進んでいます
headwind,逆風
headword,見出し語
heady,頭がおかしい
heal,癒す
heald,治った
healer,ヒーラー
healing,ヒーリング
health,健康
healthful,健康的な
healthfulness,健康
healthgiving,健康を与える
healthily,健康的に
healthiness,健康
healthless,不健康な
healthy,健康
heap,ヒープ
heaped,山盛り
heaps,山盛り
hear,聞く
heard,聞いた
hearer,聞き手
hearing,聴覚
hearken,聞いてください
hearsay,伝聞
hearse,霊柩車
heart,心臓
heartache,心の痛み
heartbreaking,悲痛な
heartbroken,傷心の
heartburn,胸焼け
heartburning,胸焼けする
heartcorroding,心臓を蝕む
hearted,心のこもった
heartedness,心
heartening,心強い
heartexpanding,心が広がる
heartfelt,心からの
heartgrief,心の悲しみ
hearth,囲炉裏
hearthrug,ハートラグ
hearthstone,ハースストーン
heartily,心から
heartiness,心のこもった
heartleaf,ハートリーフ
heartless,無情な
heartlessly,無情にも
heartlessness,無情
heartquake,心震う
heartrending,切ない
heartrobbing,胸が痛む
heartrot,ハートロット
hearts,心
heartscalded,心が痛んだ
heartseed,ハートシード
heartsick,心が痛い
heartsickening,胸が痛む
heartsinking,悲痛な
heartsome,心温まる
heartstirring,心が揺さぶられる
heartstricken,悲痛な
heartswelling,胸が痛む
heartthrilling,心躍る
heartthrob,心臓ドキドキ
heartwarming,心温まる
heartwood,心材
heartworm,フィラリア
heartwounding,心が痛む
hearty,心のこもった
heat,熱
heatable,加熱可能な
heated,加熱された
heatedly,熱く
heater,ヒータ
heath,ヒース
heathen,異教徒
heathendom,異教
heathenish,異教徒の
heathenism,異教
heathenmythology,異教神話
heather,ヘザー
heathlike,ヒースのような
heating,暖房
heatless,熱のない
heatstroke,熱中症
heaume,ハウメ
heautontimorumenos,オートンティモルメノス
heave,盛り上がる
heaven,天国
heavenborn,天生まれ
heavendirected,天に導かれた
heavenly,天
heavens,天
heavenward,天に向かって
heaver,重い
heaves,盛り上がる
heavily,重く
heaviness,重さ
heaving,ヒービング
heavy,重い
heavyhanded,高圧的な
heavyhearted,気が重い
heavyheartedness,心細さ
heavyweight,ヘビー級
hebdomadal,ヘブドマダル
hebdomadally,ヘブダマ的に
hebdomadary,妻夫人
hebe,へべ
hebephrenia,発熱
hebephrenic,ヘベフレニア
hebetate,ヘベタテ
hebetation,迷い
hebetic,ヘーベティックな
hebetude,ヘベチュード
hebetudinous,うるさい
hebraic,ヘブライ語
hebraist,ヘブライズ主義者
hebrew,ヘブライ語
hebrews,ヘブライ人
hebridean,ヘブリディアン
hebrides,ヘブリディーズ諸島
hecatomb,ヘカトゥーム
hecha,ヘチャ
heck,てか
heckelphone,ヘッケルフォン
heckle,ヤジ
heckler,やじ
heckling,半畳
hectare,ヘクタール
hectic,多忙な
hectogram,ヘクトグラム
hectograph,ヘクトグラフ
hectoliter,ヘクトリットル
hectometer,ヘクトメートル
hector,ヘクトル
hectoring,ヘクタリング
heddle,綜絖
hedeoma,浮腫
hedera,ヘデラ
hedge,ヘッジ
hedged,ヘッジされた
hedgehog,ハリネズミ
hedonic,快楽的な
hedonics,ヘドニクス
hedonism,快楽主義
hedonist,快楽主義者
hedonsim,ヘドンシム
hedysarum,ヘディサルム
heed,注意してください
heedful,注意深い
heedfulness,用心深さ
heedless,不注意な
heedlessnes,不注意
heedlessness,不注意
heel,ヒール
heelbone,かかとの骨
heeler,ヒーラー
heelpiece,ヒールピース
heels,かかと
heeltap,ヒールタップ
heft,重い
hefty,重い
hegari,へがり
hegel,ヘーゲル
hegelian,ヘーゲル主義者
hegemonic,覇権主義的な
hegemonical,覇権主義的な
hegemony,覇権
hegoat,ヘヤギ
heh,へー
heifer,雌牛
heighho,ヘイホー
height,身長
heighten,高める
heightening,高める
heights,ハイツ
heil,ヒール
heimdall,ヘイムダル
heinous,凶悪な
heinously,凶悪に
heir,相続人
heirapparent,見かけの相続人
heiress,相続人
heirloom,家宝
heirpresumptive,推定相続人
heirs,相続人
heirship,相続権
heiss,ハイス
heist,強盗
hejira,ヘジラ
hel,ヘル
held,開催
helen,ヘレン
helena,ヘレナ
helenium,ヘレニウム
heliacal,ヘリカル
heliamphora,ヘリアンフォラ
helianthemum,ヘリアンセマム
helical,らせん状の
helicanhorn,ヘリカンホーン
helichrysum,ヘリクリサム
helicidae,ヘリ科
